"effort","yield_min","yield_max","biomass_min","biomass_max"
0,0,0,0.00462166153631789,0.00462175237684862
0.25,0.000388944354060562,0.000388990380999696,0.00448471851441007,0.00448496994933189
0.5,0.000710863663807572,0.000711017758617687,0.00437589511563855,0.00437637391964247
0.75,0.000982613263619733,0.000982952726761993,0.00428708804927807,0.00428827731901249
1,0.0012154538655408,0.00121607732002157,0.00421315170010933,0.00421526933438275
1.25,0.00141731572424752,0.00141832014547018,0.00415064793150448,0.00415388338917287
1.5,0.0015939284662038,0.00159557466050835,0.00409717825328606,0.00410160613660395
1.75,0.00174924395614109,0.00175217519123272,0.00404996390021423,0.00405658983231039
2,0.00188747840926934,0.00189146091384625,0.0040088694681671,0.00401744560554901
2.25,0.00201121344676515,0.00201608269441669,0.00397348216522007,0.00398311157429157
2.5,0.00212251502280246,0.00212816948629558,0.00394237304847048,0.00395276435936259
2.75,0.00222317068685951,0.00222945859380812,0.00391491461047369,0.00392575753815866
3,0.00231465084868412,0.00232138721696571,0.00389058915072393,0.00390161335220616
3.25,0.00239805915414437,0.00240616863397871,0.00386860841738162,0.00388232272657096
3.5,0.00247435866434242,0.00248304390557479,0.00384892906134637,0.00386334845834469
3.75,0.00254456528340343,0.00255362533072258,0.00383128052470234,0.00384572700794595
4,0.00260941786222358,0.00261859616120172,0.00381540883257871,0.00382956773683544
4.25,0.00266954495670043,0.00267858886640445,0.00380109331650582,0.00381468107142828
4.5,0.00272526701480253,0.00273426192428104,0.00378814126506011,0.00380120131668868
4.75,0.00277500248809958,0.00278633086313499,0.00377390395767699,0.00378898427629568
5,0.00282241907750107,0.00283485571763882,0.00376151342801803,0.00377759320921459
5.25,0.002868081464589,0.00288020224731217,0.00375176836418313,0.003766931948664
5.5,0.00291073216093951,0.00292269604484964,0.00374225651442982,0.0037569216509736
5.75,0.00295112034297887,0.00296304745844117,0.00373358931753037,0.00374800522474824
6,0.00298947173426612,0.00300106056665357,0.00372572216720198,0.00373957374659668
6.25,0.00302557061718573,0.00303695189353561,0.00371847690945505,0.00373156199830979
6.5,0.00305984480080288,0.00307119420641123,0.00371127985003134,0.00372550339623693
6.75,0.00309264486758903,0.00310451300363613,0.00370470343404335,0.00371997036767766
7,0.00312395488277686,0.00313566506666997,0.00369867905138255,0.00371339823226424
7.25,0.00315364220462408,0.00316520544060665,0.00369282933511661,0.00370712772759912
7.5,0.00318224762259296,0.003193264492485,0.00368716519013551,0.00370091713857702
7.75,0.00320985986140376,0.00322060163109124,0.00368194504649068,0.00369518079888617
8,0.00323606070816147,0.00324688467014317,0.00367707458897381,0.00368982797451924
8.25,0.00326134731241547,0.0032721896966253,0.00367207300823426,0.00368446128825715
8.5,0.00328343194418642,0.00329659228208125,0.00366558174231529,0.0036793911315614
8.75,0.00330542842309581,0.00332011230535881,0.00365973966690913,0.00367469502402842
9,0.00332755819035017,0.00334274181881868,0.00365514778402446,0.00366993675935927
9.25,0.00334991830564933,0.00336456881166182,0.00365115183684425,0.00366540780252483
9.5,0.00337125825269112,0.00338583629413566,0.00364728456911416,0.00366117992339793
9.75,0.00339231052758068,0.00340661457038856,0.00364328037378706,0.00365685901174983
10,0.00341258732291591,0.00342680663234533,0.00363970829725548,0.00365277853858529
